Town,Korean,Hanja,Provincial,Municipal,"Area
"
Jinwi,ÁøÀ§¸é,"òÉêÎØü
",Gyeonggi,Pyeongtaek,"34.01
"
Seotan,¼­Åº¸é,"à¤÷©Øü
",Gyeonggi,Pyeongtaek,"28.63
"
Godeok,°í´ö¸é,"Í¯ÓìØü
",Gyeonggi,Pyeongtaek,"35.06
"
Oseong,¿À¼º¸é,"çüàòØü
",Gyeonggi,Pyeongtaek,"32.50
"
Cheongbuk,Ã»ºÏ¸é,"ôìİÁØü
",Gyeonggi,Pyeongtaek,"52.56
"
Hyeondeok,Çö´ö¸é,"úÜÓìØü
",Gyeonggi,Pyeongtaek,"45.89
"
Byeollae,º°³»¸é,"Ü¬Ò®Øü
",Gyeonggi,Namyangju,"22.17
"
Sudong,¼öµ¿¸é,"â©Ô×Øü
",Gyeonggi,Namyangju,"72.74
"
Joan,Á¶¾È¸é,"ğèäÌØü
",Gyeonggi,Namyangju,"50.70
"
Toegyewon,Åğ°è¿ø¸é,"÷ÜÍ¢êÂØü
",Gyeonggi,Namyangju,"3.26
"
Mohyeon,¸ğÇö¸é,"Ù·úçØü
",Gyeonggi,Yongin (Cheoin),"50.41
"
Namsa,³²»ç¸é,"ÑõŞÌØü
",Gyeonggi,Yongin (Cheoin),"58.64
"
Idong,ÀÌµ¿¸é,"ì£ÔÔØü
",Gyeonggi,Yongin (Cheoin),"75.64
"
Wonsam,¿ø»ï¸é,"êÀß²Øü
",Gyeonggi,Yongin (Cheoin),"60.23
"
Baegam,¹é¾Ï¸é,"ÛÜäÜØü
",Gyeonggi,Yongin (Cheoin),"65.79
"
Yangji,¾çÁö¸é,"åÕòªØü
",Gyeonggi,Yongin (Cheoin),"57.71
"
Gwangtan,±¤Åº¸é,"ÎÆ÷¨Øü
",Gyeonggi,Paju,"65.51
"
Tanhyun,ÅºÇö¸é,"÷©úãØü
",Gyeonggi,Paju,"61.72
"
Wollong,¿ù·Õ¸é,"êÅÖëØü
",Gyeonggi,Paju,"27.14
"
Papyeong,ÆÄÆò¸é,"÷çøÁØü
",Gyeonggi,Paju,"41.84
"
Jeokseong,Àû¼º¸é,"îİàòØü
",Gyeonggi,Paju,"88.83
"
Gunnae,±º³»¸é,"ÏÛÒ®Øü
",Gyeonggi,Paju,"43.23
"
Jangdan,Àå´Ü¸é,"íşÓ¬Øü
",Gyeonggi,Paju,"33.96
"
Jindong,Áøµ¿¸é,"òĞÔÔØü
",Gyeonggi,Paju,"43.16
"
Jinseo,Áø¼­¸é,"òĞà¤Øü
",Gyeonggi,Paju,"9.16
"
Daewol,´ë¿ù¸é,"ÓŞêÅØü
",Gyeonggi,Icheon,"31.44
"
Majang,¸¶Àå¸é,"Ø«íşØü
",Gyeonggi,Icheon,"51.36
"
Baeksa,¹é»ç¸é,"ÛÛŞŞØü
",Gyeonggi,Icheon,"32.55
"
Sindun,½ÅµĞ¸é,"ãæÔêØü
",Gyeonggi,Icheon,"36.46
"
Seolseong,¼³¼º¸é,"àäàøØü
",Gyeonggi,Icheon,"51.66
"
Hobeop,È£¹ı¸é,"ûÂÛöØü
",Gyeonggi,Icheon,"37.93
"
Moga,¸ğ°¡¸é,"ÙºÊ¥Øü
",Gyeonggi,Icheon,"40.99
"
Yul,À²¸é,"×ÊØü
",Gyeonggi,Icheon,"36.77
"
Bogae,º¸°³¸é,"ÜÄËÏØü
",Gyeonggi,Anseong,"53.01
"
Geumgwang,±İ±¤¸é,"ÑÑÎÃØü
",Gyeonggi,Anseong,"71.71
"
Seoun,¼­¿î¸é,"ßúê£Øü
",Gyeonggi,Anseong,"36.28
"
Miyang,¹Ì¾ç¸é,"Ú¹åÕØü
",Gyeonggi,Anseong,"33.73
"
Daedeok,´ë´ö¸é,"ÓŞÓìØü
",Gyeonggi,Anseong,"31.16
"
Yangseong,¾ç¼º¸é,"åÕàòØü
",Gyeonggi,Anseong,"53.17
"
Wongok,¿ø°î¸é,"êªÍÛØü
",Gyeonggi,Anseong,"37.83
"
Gosam,°í»ï¸é,"Í¯ß²Øü
",Gyeonggi,Anseong,"27.79
"
Iljuk,ÀÏÁ×¸é,"ìéñÓØü
",Gyeonggi,Anseong,"55.54
"
Juksan,Á×»ê¸é,"ñÓß£Øü
",Gyeonggi,Anseong,"57.26
"
Samjuk,»ïÁ×¸é,"ß²ñÓØü
",Gyeonggi,Anseong,"39.07
"
Daegot,´ë°ù¸é,"ÓŞÍúØü
",Gyeonggi,Gimpo,"42.79
"
Wolgot,¿ù°ù¸é,"êÅÍúØü
",Gyeonggi,Gimpo,"51.95
"
Haseong,ÇÏ¼º¸é,"ùÇàòØü
",Gyeonggi,Gimpo,"54.76
"
Maesong,¸Å¼Û¸é,"ØŞáæØü
",Gyeonggi,Hwaseong,"27.40
"
Bibong,ºñºÀ¸é,"Ş«ÜóØü
",Gyeonggi,Hwaseong,"38.5
"
Mado,¸¶µµ¸é,"Ø«Ô³Øü
",Gyeonggi,Hwaseong,"31.8
"
Songsan,¼Û»ê¸é,"áæß£Øü
",Gyeonggi,Hwaseong,"53.63
"
Seosin,¼­½Å¸é,"à¤ãæØü
",Gyeonggi,Hwaseong,"43.1
"
Paltan,ÆÈÅº¸é,"ø¢÷¨Øü
",Gyeonggi,Hwaseong,"50.9
"
Jangan,Àå¾È¸é,"íşäÌØü
",Gyeonggi,Hwaseong,"67.7
"
Yanggam,¾ç°¨¸é,"åÅÊöØü
",Gyeonggi,Hwaseong,"31.1
"
Jeongnam,Á¤³²¸é,"ïáÑõØü
",Gyeonggi,Hwaseong,"40.7
"
Dongtan,µ¿Åº¸é,"ÔÔ÷¨Øü
",Gyeonggi,Hwaseong,"39.9
"
Docheok,µµÃ´¸é,"Ô´ô©Øü
",Gyeonggi,Gwangju,"52.15
"
Toechon,ÅğÃÌ¸é,"÷Üõ½Øü
",Gyeonggi,Gwangju,"60.75
"
Namjong,³²Á¾¸é,"ÑõğûØü
",Gyeonggi,Gwangju,"48.57
"
Jungbu,ÁßºÎ¸é,"ñéİ»Øü
",Gyeonggi,Gwangju,"33.73
"
Gwangjeok,±¤Àû¸é,"ÎÆîİØü
",Gyeonggi,Yangju,"48.49
"
Nam,³²¸é,"ÑõØü
",Gyeonggi,Yangju,"36.54
"
Jangheung,ÀåÈï¸é,"íşıéØü
",Gyeonggi,Yangju,"63.00
"
Eunhyeon,ÀºÇö¸é,"ëßúãØü
",Gyeonggi,Yangju,"34.54
"
Sinbuk,½ÅºÏ¸é,"ãæİÁØü
",Gyeonggi,Pocheon,"95.89
"
Idong,ÀÌµ¿¸é,"ì£ÔÔØü
",Gyeonggi,Pocheon,"112.95
"
Gunnae,±º³»¸é,"ÏÛÒ®Øü
",Gyeonggi,Pocheon,"55.46
"
Ildong,ÀÏµ¿¸é,"ìéÔÔØü
",Gyeonggi,Pocheon,"83.3
"
Gasan,°¡»ê¸é,"Ê¥ß£Øü
",Gyeonggi,Pocheon,"35.89
"
Yeongjung,¿µÁß¸é,"çµñéØü
",Gyeonggi,Pocheon,"61.35
"
Yeongbuk,¿µºÏ¸é,"çµİÁØü
",Gyeonggi,Pocheon,"81.74
"
Naechon,³»ÃÌ¸é,"Ò®õ½Øü
",Gyeonggi,Pocheon,"52.74
"
Gwanin,°üÀÎ¸é,"Î¯ìÒØü
",Gyeonggi,Pocheon,"69.71
"
Hwajyeon,È­Çö¸é,"ü£úÖØü
",Gyeonggi,Pocheon,"43.55
"
Changsu,Ã¢¼ö¸é,"óïâ©Øü
",Gyeonggi,Pocheon,"71.5
"
Jeomdong,Á¡µ¿¸é,"ï¿ÔÔØü
",Gyeonggi,Yeoju,"71.68
"
Neungseo,´É¼­¸é,"×Õà¤Øü
",Gyeonggi,Yeoju,"53.13
"
Heungcheon,ÈïÃµ¸é,"ıéô¹Øü
",Gyeonggi,Yeoju,"44.22
"
