Table Name,Label,Extension of,Label
ast_lease,Lease,ast_contract,Contract
ast_license_adobe,Adobe Software License,ast_license_base,Base License Table
ast_license_generic,Generic Software License,ast_license_base,Base License Table
ast_license_msft,Microsoft Software License,ast_license_base,Base License Table
ast_license_symantec,Symantec Software License,ast_license_base,Base License Table
ast_service,Service Contract,ast_contract,Contract
ast_warranty,Warranty,ast_contract,Contract
bsm_action,BSM Map Actions,diagrammer_action,Diagrammer Actions
catalog_script_client,Catalog Client Scripts,sys_script_client,Client Script
catalog_ui_policy,Catalog UI Policy,sys_ui_policy,UI Policy
catalog_ui_policy_action ,Catalog UI Policy Action,sys_ui_policy_action,UI Policy Action
change_phase,Change Phase,task,Task
change_request,Change Request,task,Task
change_request_imac ,IMAC,change_request,Change Request
change_task,Change Task,task,Task
cmdb_ci_acc,Accessory,cmdb_ci ,Configuration Item
cmdb_ci_aix_server ,AIX Server,cmdb_ci_unix_server ,Unix Server
cmdb_ci_apache_web_server,Apache Web Server,cmdb_ci_web_server,Web Server
cmdb_ci_appl,Application,cmdb_ci,Configuration Item
cmdb_ci_application_software ,Application Software,cmdb_ci_spkg,Software
cmdb_ci_app_server ,Application Server ,cmdb_ci_appl,Application
cmdb_ci_app_server_domino ,Domino,cmdb_ci_app_server ,Application Server
cmdb_ci_app_server_java ,Java Server ,cmdb_ci_app_server,Application Server
cmdb_ci_app_server_jboss ,Jboss,cmdb_ci_app_server ,Application
cmdb_ci_app_server_tomcat ,Tomcat,cmdb_ci_app_server,Application Server
cmdb_ci_app_server_weblogic ,BEA Weblogic,cmdb_ci_app_server ,Application Server
cmdb_ci_app_server_websphere,IBM Websphere,cmdb_ci_app_server,Application Server
cmdb_ci_business_process ,Business Process,cmdb_ci ,Configuration Item
cmdb_ci_circuit,Circuit,cmdb_ci ,Configuration Item
cmdb_ci_cluster,Cluster,cmdb_ci,Configuration Item
cmdb_ci_cluster_node ,Cluster Node,cmdb_ci,Configuration Item
cmdb_ci_cluster_resource ,Cluster Resource,cmdb_ci,Configuration Item
cmdb_ci_cluster_vip ,Cluster Virtual IP,cmdb_ci,Configuration Item
cmdb_ci_comm,Communication Device,cmdb_ci ,Configuration Item
cmdb_ci_computer,Computer,cmdb_ci,Configuration Item
cmdb_ci_computer_room,Computer Room,cmdb_ci,Configuration Item
cmdb_ci_crac,Computer Room AC,cmdb_ci,Configuration Item
cmdb_ci_database,Database,cmdb_ci,Configuration Item
cmdb_ci_datacenter,Data Center,cmdb_ci,Configuration Item
cmdb_ci_db_catalog,Database Catalog,cmdb_ci,Configuration Item
cmdb_ci_db_db2_catalog,DB2 Catalog,cmdb_ci_db_catalog,Database Catalog
cmdb_ci_db_db2_instance,DB2 Instance,cmdb_ci_db_instance,Database Instance
cmdb_ci_db_instance,Database Instance,cmdb_ci_appl,Application
cmdb_ci_db_mssql_catalog,MSFT SQL Catalog,cmdb_ci_db_catalog,Database Catalog
cmdb_ci_db_mssql_instance,MSFT SQL Instance,cmdb_ci_db_instance,Database Instance
cmdb_ci_db_mysql_catalog,MySQL Catalog,cmdb_ci_db_catalog,Database Catalog
cmdb_ci_db_mysql_instance,MySQL Instance,cmdb_ci_db_instance,Database Instance
cmdb_ci_db_ora_catalog,Oracle Catalog,cmdb_ci_db_catalog,Database Catalog
cmdb_ci_db_ora_instance,Oracle Instance,cmdb_ci_db_instance,Database Instance
cmdb_ci_db_syb_catalog,Sybase Catalog,cmdb_ci_db_catalog,Database Catalog
cmdb_ci_db_syb_instance,Sybase Instance,cmdb_ci_db_instance,Database Instance
cmdb_ci_desktop_software,Desktop Software,cmdb_ci_spkg,Software
cmdb_ci_directory_server,Directory Server,cmdb_ci_infra_service,Infrastructure Service
cmdb_ci_disk,Disk,cmdb_ci,Configuration Item
cmdb_ci_email_server,Email Server,cmdb_ci_infra_service,Infrastructure Service
cmdb_ci_esx_server,ESXi Server,cmdb_ci_server,Server
cmdb_ci_file_system,File System,cmdb_ci,Configuration Item
cmdb_ci_file_system_nfs,NFS File System,cmdb_ci_file_system,File System
cmdb_ci_file_system_smb,SMB File System,cmdb_ci_file_system,File System
cmdb_ci_ftp_server,FTP Server,cmdb_ci_infra_service,Infrastructure Service
cmdb_ci_group,Group,cmdb_ci,Configuration Item
cmdb_ci_hpux_server,HPUX Server,cmdb_ci_unix_server,Unix Server
cmdb_ci_infra_service,Infrastructure Service,cmdb_ci_appl,Application
cmdb_ci_infra_service_ldap,LDAP Service,cmdb_ci_infra_service,Infrastructure Service
